id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pengeluaran_per_kapita,satuan,tahun
221,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,9297.0,RIBU RUPIAH,2018
222,32,JAWA BARAT,3209,KABUPATEN CIREBON,10212.0,RIBU RUPIAH,2018
223,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,9416.0,RIBU RUPIAH,2018
224,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10153.0,RIBU RUPIAH,2018
225,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9633.0,RIBU RUPIAH,2018
226,32,JAWA BARAT,3213,KABUPATEN SUBANG,10715.0,RIBU RUPIAH,2018
227,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11372.0,RIBU RUPIAH,2018
228,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11277.0,RIBU RUPIAH,2018
229,32,JAWA BARAT,3216,KABUPATEN BEKASI,11155.0,RIBU RUPIAH,2018
230,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8329.0,RIBU RUPIAH,2018
231,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8968.0,RIBU RUPIAH,2018
232,32,JAWA BARAT,3271,KOTA BOGOR,11348.0,RIBU RUPIAH,2018
233,32,JAWA BARAT,3272,KOTA SUKABUMI,10609.0,RIBU RUPIAH,2018
234,32,JAWA BARAT,3273,KOTA BANDUNG,16630.0,RIBU RUPIAH,2018
235,32,JAWA BARAT,3274,KOTA CIREBON,11397.0,RIBU RUPIAH,2018
236,32,JAWA BARAT,3275,KOTA BEKASI,15755.0,RIBU RUPIAH,2018
237,32,JAWA BARAT,3276,KOTA DEPOK,15262.0,RIBU RUPIAH,2018
238,32,JAWA BARAT,3277,KOTA CIMAHI,11921.0,RIBU RUPIAH,2018
239,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9855.0,RIBU RUPIAH,2018
240,32,JAWA BARAT,3279,KOTA BANJAR,10329.0,RIBU RUPIAH,2018
241,32,JAWA BARAT,3201,KABUPATEN BOGOR,10683.0,RIBU RUPIAH,2019
242,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8973.0,RIBU RUPIAH,2019
243,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8290.0,RIBU RUPIAH,2019
244,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10502.0,RIBU RUPIAH,2019
245,32,JAWA BARAT,3205,KABUPATEN GARUT,8099.0,RIBU RUPIAH,2019
246,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,8092.0,RIBU RUPIAH,2019
247,32,JAWA BARAT,3207,KABUPATEN CIAMIS,9557.0,RIBU RUPIAH,2019
248,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,9673.0,RIBU RUPIAH,2019
249,32,JAWA BARAT,3209,KABUPATEN CIREBON,10670.0,RIBU RUPIAH,2019
250,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,9822.0,RIBU RUPIAH,2019
